COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
MOUNT WASHINGTON,"2528 ELSTUN RD
Cincinnati, OH
(39.10484461583894, -84.39807840013839)",SR12035875,CLOSED  ,Pothole repair,this has been a problem for more than two years--somebody please fix this problem.  It is messing with our automobiles.  The potholes are between 2528 Elstun Road and 2396 Elstun road.08/06/2012 9:27 AM/DCOTTRELL - call back for repairs this is before the,07/30/2012 12:00:00 AM,11:08 AM,2528 ELSTUN RD CINC - GJ2498731607,46.01,STANDARD,INTERNET,400060009,07/30/2012 12:00:00 AM,CSRWEB,08/01/2012 12:00:00 AM,,08/21/2012 12:00:00 AM,08/21/2012 12:00:00 AM,TMACK,1429912,407973,
HYDE PARK,"2897 MINTO AV
Cincinnati, OH
(39.14290392411891, -84.43497758300055)",SR12035862,CLOSED  ,Pothole repair,This is a situation that has been ongoing for a number of years and must be fixed.,07/30/2012 12:00:00 AM,11:00 AM,2897 MINTO AV CINC - GJ2167535749,50,STANDARD,INTERNET,3900060068,07/30/2012 12:00:00 AM,CSRWEB,08/01/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1419738,422082,
WEST PRICE HILL,"4415 W 8TH ST
Cincinnati, OH
(39.10869517925297, -84.59584626368893)",SR12035745,CLOSED  ,Pothole repair,it is on the street in front of the exit to Indian Walk Aptartments 4415 West 8th Street.,07/30/2012 12:00:00 AM,12:55 AM,4415 W 8TH ST CINC - GJ0787531557,99.02,STANDARD,INTERNET,01800A810021      ,07/30/2012 12:00:00 AM,CSRWEB,08/01/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1373843,410596,W 
SEDAMSVILLE,"220 FAIRBANKS AV
Cincinnati, OH
(39.091210893874745, -84.57264579924578)",SR12035612,CLOSED  ,Pothole repair,The pothole location is rather bumpy.  While motorized vehicles can handle it pretty easily for bicyclists this make it very unpleasant to have to deal with.,07/27/2012 12:00:00 AM,1:45 PM,220 FAIRBANKS AV CINC - GJ0994629723,103,STANDARD,INTERNET,15300030131,07/27/2012 12:00:00 AM,CSRWEB,07/29/2012 12:00:00 AM,,08/13/2012 12:00:00 AM,08/13/2012 12:00:00 AM,,1380329,404252,
WALNUT HILLS,"669 MELISH PL
Cincinnati, OH
(39.134540229246454, -84.4937302911747)",SR12035589,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/27/2012 12:00:00 AM,11:57 AM,E MARTIN LUTHER KING JR DR & FREDONIA AV,36,STANDARD,INTERNET,10500010183,07/27/2012 12:00:00 AM,CSRWEB,07/29/2012 12:00:00 AM,,08/13/2012 12:00:00 AM,08/13/2012 12:00:00 AM,,1403346,419491,
OAKLEY,"2736 HYDE PARK AV
Cincinnati, OH
(39.15053017492738, -84.44048143381985)",SR12035500,CLOSED  ,Pothole repair,Since the street is pushing upward and the asphalt is soft I wonder if something is leaking from underneath?,07/26/2012 12:00:00 AM,8:27 PM,2736 HYDE PARK AV CINC - GJ2117836614,52,STANDARD,INTERNET,4000030030,07/26/2012 12:00:00 AM,CSRWEB,07/28/2012 12:00:00 AM,,08/25/2012 12:00:00 AM,08/25/2012 12:00:00 AM,MPOTTER,1418248,424995,
WESTWOOD,"3044 BOUDINOT AV
Cincinnati, OH
(39.139792269897555, -84.60430193467715)",SR12035480,CLOSED  ,Pothole repair,Deep pothole on Boudinot between Werk Rd and Queen City Av.,07/26/2012 12:00:00 AM,3:54 PM,3044 BOUDINOT AV - GJ0708235027,102.02,STANDARD,PHONE,20800590032,07/26/2012 12:00:00 AM,DSWEETEN,07/28/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,,1371810,422091,
EAST PRICE HILL,"3411 PRICE AV
Cincinnati, OH
(39.10717385989483, -84.56645846368423)",SR12035416,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/26/2012 12:00:00 AM,11:47 AM,3411 PRICE AV CINC - GJ1041831469,95,STANDARD,INTERNET,17600190168,07/26/2012 12:00:00 AM,CSRWEB,07/28/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,,1382162,409893,
PLEASANT RIDGE,"6125 MONTGOMERY RD
Cincinnati, OH
(39.18271691035602, -84.42636207795988)",SR12035275,CLOSED  ,Pothole repair,NUMEROUS POTHOLES ON WEBBLAND PLACE OFF OF KINCAID IN THE CULDESAC. CALLER STATED SHE HAS CALLED THIS IN BEFORE. COULD NOT FIND A SERVICE REQUEST. THANK YOU,07/25/2012 12:00:00 AM,4:09 PM,WEBBLAND PL & MONTGOMERY RD - GJ2231240212 MONTGOMERY RD and WEBBLAND PL,57.01,STANDARD,PHONE,12400020049,07/25/2012 12:00:00 AM,DTHOMAS,07/27/2012 12:00:00 AM,,08/25/2012 12:00:00 AM,08/25/2012 12:00:00 AM,MPOTTER,1422548,436595,
COLLEGE HILL,"1618 CEDAR AV
Cincinnati, OH
(39.19882376790082, -84.54750075530654)",SR12035204,CLOSED  ,Pothole repair,2 craters- hazardous potholes,07/25/2012 12:00:00 AM,1:02 PM,1618 CEDAR AV - GJ1178341719 1618 Cedar Ave,82.02,STANDARD,PHONE,23300020119,07/25/2012 12:00:00 AM,VBANKS,07/27/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/20/2012 12:00:00 AM,TMACK,1388301,443251,
COLLEGE HILL,"1192 HOMESIDE AV
Cincinnati, OH
(39.19996590687799, -84.53904712823112)",SR12035188,CLOSED  ,Pothole repair,several large potholes please patrol street,07/25/2012 12:00:00 AM,12:26 PM,1192 HOMESIDE AV - GJ1251041874,82.01,STANDARD,PHONE,23500030005,07/25/2012 12:00:00 AM,DCOTTRELL,07/27/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,,1390709,443640,
MADISONVILLE,"5100 DUCK CREEK RD
Cincinnati, OH
(39.16467651044826, -84.40732343059955)",SR12035186,CLOSED  ,Pothole repair,this is not the first time this pothole has been worked on.,07/25/2012 12:00:00 AM,12:23 PM,5100 DUCK CREEK RD CINC - GJ2408538396,108,STANDARD,INTERNET,5100110069,07/25/2012 12:00:00 AM,CSRWEB,07/27/2012 12:00:00 AM,,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,,1428066,430362,
AVONDALE,"660 ROCKDALE AV
Cincinnati, OH
(39.14466122607673, -84.49366811139174)",SR12035165,CLOSED  ,Pothole repair,NUMEROUS POTHOLES @ THE DRIVEWAY TO THE CHURCH. ,07/25/2012 12:00:00 AM,11:46 AM,660 ROCKDALE AV - GJ1667635843 At Address 660 ROCKDALE AV,68,STANDARD,PHONE,10700090026,07/25/2012 12:00:00 AM,DTHOMAS,07/27/2012 12:00:00 AM,,07/31/2012 12:00:00 AM,07/31/2012 12:00:00 AM,,1403375,423201,
MOUNT ADAMS,"1221 MARTIN DR
Cincinnati, OH
(39.10878364632731, -84.493370562363)",SR12035122,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/25/2012 12:00:00 AM,10:10 AM,1221 MARTIN DR CINC - GJ1674531832,19,STANDARD,INTERNET,7200020209,07/25/2012 12:00:00 AM,CSRWEB,07/27/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1402948,410051,
WESTWOOD,"3042 RAMONA AV
Cincinnati, OH
(39.14288593767833, -84.60242235163594)",SR12035039,CLOSED  ,Pothole repair,Problem spots are on Ramona Circle at the intersection of Ramona Avenue,07/24/2012 12:00:00 AM,4:39 PM,3042 RAMONA AV CINC - GJ0720435396,102.02,STANDARD,INTERNET,21100690051,07/24/2012 12:00:00 AM,CSRWEB,07/26/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,,1372272,423283,
SOUTH FAIRMOUNT,"2239 GRAEBE AV
Cincinnati, OH
(39.12235441574944, -84.56310399251493)",SR12035025,CLOSED  ,Pothole repair,we have called before and now my mom has feel and got hurt and we would like it taken care of asap. so she dont get hurt again. The reason the back street sewer is cloged up .,07/24/2012 12:00:00 AM,4:01 PM,2239 GRAEBE AV CINC - GJ1065533183,92,STANDARD,INTERNET,20500200040,07/24/2012 12:00:00 AM,CSRWEB,07/26/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1383216,415471,
HYDE PARK,"3624 MONTEITH AV
Cincinnati, OH
(39.14315573428712, -84.43661434909387)",SR12035024,CLOSED  ,Pothole repair,On Monteith between Victoria and Minto,07/24/2012 12:00:00 AM,3:57 PM,MONTEITH AV & MINTO AV,50,STANDARD,INTERNET,4000050017,07/24/2012 12:00:00 AM,CSRWEB,07/26/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,TMACK,1419276,422204,
SAYLER PARK,"6412 RIVER RD
Cincinnati, OH
(39.108298012431476, -84.69008826305208)",SR12035020,CLOSED  ,Pothole repair,River Road Rt 50    from 6412 to Kibby Rd   headed west bound in the passing lane.  There are at least 4 sink holes that are getting deeper every day.  There are also potholes in need of repair this section is in bad shape!   This location is an estimate ,07/24/2012 12:00:00 AM,3:26 PM,6412 RIVER RD CINC - FJ9974131355,105,STANDARD,INTERNET,16400090007,07/24/2012 12:00:00 AM,CSRWEB,07/26/2012 12:00:00 AM,,11/05/2012 12:00:00 AM,11/05/2012 12:00:00 AM,,1347162,411262,
HYDE PARK,"3525 HOLLY AV
Cincinnati, OH
(39.14129413768649, -84.45838693542322)",SR12034982,CLOSED  ,Pothole repair,Holly Ave. is in general direpair. Potholes litter the 500 yard street and debris from those potholes spread into my driveway with every heavy rainfall causing erosion to my driveway and the drainage areas surrounding the area. In addition there is no sid,07/24/2012 12:00:00 AM,1:00 PM,3525 HOLLY AV CINC - GJ1964035542,40,STANDARD,INTERNET,4200050058,07/24/2012 12:00:00 AM,CSRWEB,07/26/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1413041,421734,
AVONDALE,"3236 BURNET AV
Cincinnati, OH
(39.13867711058123, -84.50061909791913)",SR12034880,CLOSED  ,Pothole repair,NE corner there is a pothole / sunken area that is causing a problem with wheel chairs. One citizen got thrown out of his chair yesterday.,07/24/2012 12:00:00 AM,8:59 AM,BURNET AV & ALBERT SABIN WY - GJ1600935140 Burnet at Albert Sabin way,32,STANDARD,PHONE,10600010192,07/24/2012 12:00:00 AM,VBANKS,07/26/2012 12:00:00 AM,,07/31/2012 12:00:00 AM,07/31/2012 12:00:00 AM,,1401074,421008,
WALNUT HILLS,"911 ROGERS PL
Cincinnati, OH
(39.123595480149845, -84.49085246068097)",SR12034703,CLOSED  ,Pothole repair,resurface at 916 rogers place by sewer,07/23/2012 12:00:00 AM,10:12 AM,911 ROGERS PL CINC - GJ1691033475,19,STANDARD,INTERNET,6700010034,07/23/2012 12:00:00 AM,CSRWEB,07/25/2012 12:00:00 AM,,08/10/2012 12:00:00 AM,08/10/2012 12:00:00 AM,,1403760,415409,
BOND HILL,"1104 CAROLINA AV
Cincinnati, OH
(39.175684212086935, -84.48045629802226)",SR12034545,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/20/2012 12:00:00 AM,2:00 PM,1104 CAROLINA AV CINC - GJ1764439313,64,STANDARD,INTERNET,11800020065,07/20/2012 12:00:00 AM,CSRWEB,07/22/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1407115,434413,
SAYLER PARK,"176 MACKENZIE AV
Cincinnati, OH
(39.111013964959966, -84.6877140528947)",SR12034513,CLOSED  ,Pothole repair,This is on an unimproved street with no curbs,07/20/2012 12:00:00 AM,11:41 AM,176 MACKENZIE AV CINC - FJ9993831636,105,STANDARD,INTERNET,16400070022,07/20/2012 12:00:00 AM,CSRWEB,07/22/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,,1347851,412150,
CLIFTON,"218 GLENMARY AV
Cincinnati, OH
(39.1461414834244, -84.51720259613944)",SR12034504,CLOSED  ,Pothole repair,large pothole- several- please patrol whole street.07/25/2012 1:39 PM/DCOTTRELL - call back for repair.,07/20/2012 12:00:00 AM,11:15 AM,218 GLENMARY AV - GJ1456335987,70,STANDARD,PHONE,21700510036,07/20/2012 12:00:00 AM,DCOTTRELL,07/22/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1396475,424017,
NORTHSIDE,"3909 TURRILL ST
Cincinnati, OH
(39.15737401557038, -84.54207784346988)",SR12034467,CLOSED  ,Pothole repair,POTHOLE,07/20/2012 12:00:00 AM,9:51 AM,3909 TURRILL ST - GJ1235937118 At Address 3909 TURRILL ST,78,STANDARD,PHONE,19400110206,07/20/2012 12:00:00 AM,DTHOMAS,07/22/2012 12:00:00 AM,,07/20/2012 12:00:00 AM,07/20/2012 12:00:00 AM,,1389440,428084,
OAKLEY,"3408 DUCK CREEK RD
Cincinnati, OH
(39.16576469010374, -84.42251297967442)",SR12034421,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/19/2012 12:00:00 AM,10:39 PM,RIDGE AV & RIDGE AV TO I-71 SB EXWY RAMP,54,STANDARD,INTERNET,5200050038,07/19/2012 12:00:00 AM,CSRWEB,07/21/2012 12:00:00 AM,,08/07/2012 12:00:00 AM,08/07/2012 12:00:00 AM,,1423288,430329,
LOWER PRICE HILL,"1718 STATE AV
Cincinnati, OH
(39.11847833780314, -84.5464035824308)",SR12034213,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/18/2012 12:00:00 AM,5:03 PM,LEHMAN RD & STATE AV,93,STANDARD,INTERNET,16800020100,07/18/2012 12:00:00 AM,CSRWEB,07/20/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1387928,413947,
WESTWOOD,"3504 CRAIG AV
Cincinnati, OH
(39.15259903959926, -84.60465658676794)",SR12034206,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/18/2012 12:00:00 AM,4:00 PM,EVERGREEN AV & CRAIG AV,101,STANDARD,INTERNET,21100710062,07/18/2012 12:00:00 AM,CSRWEB,07/20/2012 12:00:00 AM,,07/26/2012 12:00:00 AM,07/26/2012 12:00:00 AM,,1371683,426734,
WESTWOOD,"3159 EVERGREEN AV
Cincinnati, OH
(39.15264358169628, -84.6061455448372)",SR12034204,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/18/2012 12:00:00 AM,3:57 PM,EVERGREEN AV & CHEVIOT AV,101,STANDARD,INTERNET,21100710148,07/18/2012 12:00:00 AM,CSRWEB,07/20/2012 12:00:00 AM,,07/26/2012 12:00:00 AM,07/26/2012 12:00:00 AM,,1371237,426791,
WESTWOOD,"3716 QUANTE AV
Cincinnati, OH
(39.15553040541033, -84.58154908733587)",SR12034135,CLOSED  ,Pothole repair,There are quite a few on the street according to the constituent. He said that he has made requests in the past that have gone unanswered.,07/18/2012 12:00:00 AM,12:48 PM,3716 QUANTE AV CINC - GJ0898636831,101,STANDARD,INTERNET,20900060082,07/18/2012 12:00:00 AM,CSRWEB,07/20/2012 12:00:00 AM,,07/26/2012 12:00:00 AM,07/26/2012 12:00:00 AM,,1378343,427694,
LOWER PRICE HILL,"2304 LEHMAN RD
Cincinnati, OH
(39.118514310684304, -84.54657445361636)",SR12034047,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/18/2012 12:00:00 AM,9:05 AM,2304 LEHMAN RD CINC - GJ1209532809,92,STANDARD,INTERNET,16800020046,07/18/2012 12:00:00 AM,CCSRWEB,07/20/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1387872,414009,
LOWER PRICE HILL,"2304 LEHMAN RD
Cincinnati, OH
(39.118514310684304, -84.54657445361636)",SR12034044,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/18/2012 12:00:00 AM,8:56 AM,2304 LEHMAN RD CINC - GJ1209532809,92,STANDARD,INTERNET,16800020046,07/18/2012 12:00:00 AM,CCSRWEB,07/20/2012 12:00:00 AM,,07/24/2012 12:00:00 AM,07/24/2012 12:00:00 AM,,1387872,414009,
SOUTH FAIRMOUNT,"2520 HANSFORD PL
Cincinnati, OH
(39.132013134344106, -84.56839200604719)",SR12034006,CLOSED  ,Pothole repair,POTHOLE JUST NORTH OF HIS DRIVEWAY,07/17/2012 12:00:00 AM,4:58 PM,2520 HANSFORD PL - GJ1019734238 At Address 2520 HANSFORD PL,89,STANDARD,PHONE,20600080149,07/17/2012 12:00:00 AM,DTHOMAS,07/19/2012 12:00:00 AM,,07/23/2012 12:00:00 AM,07/23/2012 12:00:00 AM,,1381885,418998,
SOUTH FAIRMOUNT,"2400 LEHMAN RD
Cincinnati, OH
(39.118165632511605, -84.5482185717954)",SR12033992,CLOSED  ,Pothole repair,This roadway is travelled by all Radcliff Police Fire etc personnel including SWAT etc.   Major concern for heavy vehicles firetrucks etc.,07/17/2012 12:00:00 AM,3:53 PM,2400 LEHMAN RD CINC - GJ1185232927,92,STANDARD,INTERNET,16800020131,07/17/2012 12:00:00 AM,CSRWEB,07/19/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1387096,414436,
WALNUT HILLS,"2644 GILBERT AV
Cincinnati, OH
(39.12887450046185, -84.48879301323387)",SR12033940,CLOSED  ,Pothole repair,NUMEROUS POTHOLES ON GILBER AVE TO YALE AVE ALSO PARK AVE & KEMPER & SAYS SHE STRAINED HER FOOT & IS GOING TO FILE A DAMAGE CLAIM. DON'T KNOW WHICH HOLE SHE STEPPED IN,07/17/2012 12:00:00 AM,2:07 PM,YALE AV & GILBERT AV - GJ1707734104 GILBERT AV and YALE AV,37,STANDARD,PHONE,6700030084,07/17/2012 12:00:00 AM,DTHOMAS,07/19/2012 12:00:00 AM,,08/10/2012 12:00:00 AM,08/10/2012 12:00:00 AM,,1404402,417438,
HARTWELL,"8206 WOODBINE AV
Cincinnati, OH
(39.209444761066834, -84.4687111523196)",SR12033937,CLOSED  ,Pothole repair,NUMEROUS POHOLES ON PARKWAY AVE BETWEEN WOODBINE AVE & VINE ST,07/17/2012 12:00:00 AM,1:57 PM,PARKWAY AV & WOODBINE AV - GJ1856943105 KEARNEY ST and PARKWAY AV and WOODBINE AV,60,STANDARD,PHONE,24300040077,07/17/2012 12:00:00 AM,DTHOMAS,07/19/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1410760,446684,
HEIGHTS,"2935 CAMPUS GREEN DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12033786,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/16/2012 12:00:00 AM,8:18 PM,WOODSIDE DR & W MARTIN LUTHER KING JR DR,30,STANDARD,INTERNET,10300030292,07/16/2012 12:00:00 AM,CSRWEB,07/18/2012 12:00:00 AM,,07/18/2012 12:00:00 AM,07/18/2012 12:00:00 AM,,1396970,420021,
OAKLEY,"2701 MADISON RD
Cincinnati, OH
(39.14545354898738, -84.4427526571821)",SR12033760,CLOSED  ,Pothole repair,This lane on Edwards Rd. from Madison Rd. to Edmondson has been an horrific mess for months. The holes are bad enough to damage tires &/or alignment. I have reported this problem area several times over the past 3 months.,07/16/2012 12:00:00 AM,4:30 PM,MADISON RD & EDWARDS RD,52,STANDARD,INTERNET,4000040037,07/16/2012 12:00:00 AM,CSRWEB,07/18/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1417567,423151,
SOUTH FAIRMOUNT,"2400 LEHMAN RD
Cincinnati, OH
(39.118165632511605, -84.5482185717954)",SR12033717,CLOSED  ,Pothole repair,looking into the hole i can see wires and pipes this needs attention very soon!,07/16/2012 12:00:00 AM,2:44 PM,2400 LEHMAN RD CINC - GJ1185232927,92,STANDARD,INTERNET,16800020131,07/16/2012 12:00:00 AM,CSRWEB,07/18/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1387096,414436,
ROSELAWN,"1617 MIRAMAR CT
Cincinnati, OH
(39.20121596449877, -84.45880062355673)",SR12033687,CLOSED  ,Pothole repair,large pothole in alley behind address several potholes no name on alley alley ends in the Valley Shopping Center.,07/16/2012 12:00:00 AM,12:48 PM,1617 MIRAMAR CT - GJ1942642160,110,STANDARD,PHONE,11700140087,07/16/2012 12:00:00 AM,DCOTTRELL,07/18/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1413413,443448,
CALIFORNIA,"5800 KELLOGG AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12033629,CLOSED  ,Pothole repair,What are the plans for repaving the whole stretch?,07/16/2012 12:00:00 AM,11:01 AM,KELLOGG AV & KENWOOD AV,45,STANDARD,INTERNET,900030079,07/16/2012 12:00:00 AM,CSRWEB,07/18/2012 12:00:00 AM,,08/03/2012 12:00:00 AM,08/03/2012 12:00:00 AM,,1422215,394759,
WEST END,"830 DAYTON ST
Cincinnati, OH
(39.11829847339726, -84.52830922320129)",SR12033543,CLOSED  ,Pothole repair,two potholes need filled.  one in front of 817 dayton street the other in front of 830 dayton street,07/15/2012 12:00:00 AM,7:32 PM,830 DAYTON ST CINC - GJ1369032830,15,STANDARD,INTERNET,13200020033,07/15/2012 12:00:00 AM,CSRWEB,07/17/2012 12:00:00 AM,,08/01/2012 12:00:00 AM,08/01/2012 12:00:00 AM,,1393102,413820,
AVONDALE,"553 MAPLE AV
Cincinnati, OH
(39.14249023598546, -84.49594262336677)",SR12033466,CLOSED  ,Pothole repair,large potholes several on the whole street by the driveway,07/13/2012 12:00:00 AM,2:46 PM,553 MAPLE AV - GJ1640935563,67,STANDARD,PHONE,10700080125,07/13/2012 12:00:00 AM,DCOTTRELL,07/15/2012 12:00:00 AM,,07/19/2012 12:00:00 AM,07/19/2012 12:00:00 AM,,1402452,422329,
MADISONVILLE,"5715 PRENTICE ST
Cincinnati, OH
(39.15963131386394, -84.39504768489962)",SR12033452,CLOSED  ,Pothole repair,large pothole near the curb area and sereral others-- 5805 5801 5717 most are near the curb area,07/13/2012 12:00:00 AM,2:00 PM,5715 PRENTICE ST - GJ2507537708,55,STANDARD,PHONE,3600020045,07/13/2012 12:00:00 AM,DCOTTRELL,07/15/2012 12:00:00 AM,,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,,1431192,427944,
BOND HILL,"4829 READING RD
Cincinnati, OH
(39.17414637141684, -84.46732619639448)",SR12033318,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON NORTHCUTT AVE FROM READING RD ALL THE WAY DWON NORTHCUTT AVE NEED ATTENTION/FILLED. THANK YOU,07/12/2012 12:00:00 AM,4:19 PM,NORTHCUTT AV & READING RD - GJ1878339143 NORTHCUTT AV and READING RD and YARMOUTH AV,64,STANDARD,PHONE,11700050144,07/12/2012 12:00:00 AM,DTHOMAS,07/14/2012 12:00:00 AM,,07/31/2012 12:00:00 AM,07/31/2012 12:00:00 AM,,1410814,433668,
CLIFTON,"601 MCALPIN AV
Cincinnati, OH
(39.15078198509559, -84.53130396555889)",SR12033308,CLOSED  ,Pothole repair,this was originally requested on service request SR#12030562 dated 6/28/12.,07/12/2012 12:00:00 AM,3:46 PM,601 MCALPIN AV CINC - GJ1341336345,71,STANDARD,INTERNET,21500680061,07/12/2012 12:00:00 AM,CSRWEB,07/14/2012 12:00:00 AM,,07/23/2012 12:00:00 AM,07/23/2012 12:00:00 AM,,1392770,425382,
WEST END,"1544 LINN ST
Cincinnati, OH
(39.11298710014068, -84.52743501090154)",SR12033267,CLOSED  ,Pothole repair,Large hazardous pothole at the corner of Wade St and Linn St. in the curb lane,07/12/2012 12:00:00 AM,2:12 PM,WADE ST & LINN ST - GJ1377432164,3.01,HAZARDOUS,PHONE,13400010387,07/12/2012 12:00:00 AM,DSWEETEN,07/14/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1393267,411621,
MADISONVILLE,"4420 SIMPSON AV
Cincinnati, OH
(39.15366880880964, -84.390056447637)",SR12033050,CLOSED  ,Pothole repair,pothole at 4420 Simpson Av and 4828 Simpson Av.,07/11/2012 12:00:00 AM,12:23 PM,4420 SIMPSON AV - GJ2554737071,56,STANDARD,PHONE,3700010012,07/11/2012 12:00:00 AM,DSWEETEN,07/13/2012 12:00:00 AM,,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,,1432634,425780,
SOUTH FAIRMOUNT,"2520 HANSFORD PL
Cincinnati, OH
(39.132013134344106, -84.56839200604719)",SR12032924,CLOSED  ,Pothole repair,Please refer to SR12032633 dated 7/09/2012.A repair crew was at the address earlier today and threw a shovel full of blacktop in the hole and left according to a neighbor.  By noon the hole was again open and by 5:30 pm tonight it is about twice the size ,07/10/2012 12:00:00 AM,8:27 PM,2520 HANSFORD PL CINC - GJ1019634237,89,STANDARD,INTERNET,20600080149,07/10/2012 12:00:00 AM,CSRWEB,07/12/2012 12:00:00 AM,,07/23/2012 12:00:00 AM,07/23/2012 12:00:00 AM,,1381885,418998,
ROSELAWN,"7050 STEGER DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12032803,CLOSED  ,Pothole repair,This is my 3rd request. Each time a get notification that its been completed and therefore closed.  It has not.  Perhaps you're looking on the wrong side of Steger.  This part of Steger Drive is behind the Eurostampa on Seymore behind ODOT but before you ,07/10/2012 12:00:00 AM,10:59 AM,7050 STEGER DR CINC - GJ1843441197,62.02,STANDARD,INTERNET,11700070090,07/10/2012 12:00:00 AM,CSRWEB,07/12/2012 12:00:00 AM,,07/16/2012 12:00:00 AM,07/16/2012 12:00:00 AM,,1410011,440455,
MADISONVILLE,"5767 WHITNEY AV
Cincinnati, OH
(39.15401954440108, -84.39534446116932)",SR12032710,CLOSED  ,Pothole repair,The corner of Lucerne and Whitney. Lucerene to first driveway.,07/10/2012 12:00:00 AM,12:03 AM,5767 WHITNEY AV CINC - GJ2506437080,56,STANDARD,INTERNET,3600050017,07/10/2012 12:00:00 AM,CSRWEB,07/12/2012 12:00:00 AM,,07/17/2012 12:00:00 AM,07/17/2012 12:00:00 AM,,1431054,425888,
MADISONVILLE,"5765 WHITNEY AV
Cincinnati, OH
(39.1540285376214, -84.39552432557514)",SR12032701,CLOSED  ,Pothole repair,The potholes are in front of 5761 Whitney Avenue to 5765 Whitney Avenue. When it rains the potholes fill with gallons of water for days and the protruding gas pipe is a SERIOUS hazard to navigation.,07/09/2012 12:00:00 AM,11:16 PM,5765 WHITNEY AV CINC - GJ2505037081,56,STANDARD,INTERNET,3600050016,07/09/2012 12:00:00 AM,CSRWEB,07/11/2012 12:00:00 AM,,07/17/2012 12:00:00 AM,07/17/2012 12:00:00 AM,,1431008,425895,
SOUTH FAIRMOUNT,"2520 HANSFORD PL
Cincinnati, OH
(39.132013134344106, -84.56839200604719)",SR12032633,CLOSED  ,Pothole repair,large pothole -Msd was on the street and ran a dye test already. Ready to be filled area is coned.,07/09/2012 12:00:00 AM,1:42 PM,2520 HANSFORD PL - GJ1019734238,89,STANDARD,PHONE,20600080149,07/09/2012 12:00:00 AM,DCOTTRELL,07/11/2012 12:00:00 AM,,07/11/2012 12:00:00 AM,07/11/2012 12:00:00 AM,,1381885,418998,
