COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CUF,"2736 W MCMICKEN AV
Cincinnati, OH
(39.13151850722801, -84.53020679268315)",Graffiti removal,SR12038102,CLOSED  ,Graffiti on rear of building,08/14/2012 12:00:00 AM,6:49 AM,2736 W MCMICKEN AV - GJ1350634281,29,STANDARD,PHONE,9800020107,08/14/2012 12:00:00 AM,LSHACKELFORD,09/13/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1392733,418602,W 
MOUNT AUBURN,"311 KINSEY AV
Cincinnati, OH
(39.125178286921425, -84.50279545723004)",Graffiti removal,SR12038101,CLOSED  ,Graffiti all over building,08/14/2012 12:00:00 AM,6:40 AM,311 KINSEY AV - GJ1587333618,22,STANDARD,PHONE,8900030107,08/14/2012 12:00:00 AM,LSHACKELFORD,09/13/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1400380,416043,
CUF,"2301 ROHS ST
Cincinnati, OH
(39.1249714428547, -84.52156430798158)",Graffiti removal,SR12038100,CLOSED  ,Graffiti on side of building,08/14/2012 12:00:00 AM,6:36 AM,2301 ROHS ST - GJ1422933571,26,STANDARD,PHONE,10000020068,08/14/2012 12:00:00 AM,LSHACKELFORD,09/13/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1394988,416158,
EAST PRICE HILL,"962 OAKLAND AV
Cincinnati, OH
(39.10981786666099, -84.57433652466085)",Graffiti removal,SR12038077,CLOSED  ,GRAFFITI IN DRIVEWAY,08/13/2012 12:00:00 AM,4:04 PM,962 OAKLAND AV - GJ0974831766 At Address 962 OAKLAND AV,95,STANDARD,PHONE,17600220019,08/13/2012 12:00:00 AM,DTHOMAS,09/12/2012 12:00:00 AM,,09/18/2012 12:00:00 AM,09/18/2012 12:00:00 AM,,1380013,410974,
CUF,"2120 RAVINE ST
Cincinnati, OH
(39.122048646259486, -84.52605192490773)",Graffiti removal,SR12038026,CLOSED  ,citizen says kids graffittied up the whole street hitting signs fences retaining walls and foundations of many of the homes.,08/13/2012 12:00:00 AM,12:57 PM,2120 RAVINE ST - GJ1387633235,26,STANDARD,PHONE,9600040004,08/13/2012 12:00:00 AM,DCOTTRELL,09/12/2012 12:00:00 AM,,09/10/2012 12:00:00 AM,09/10/2012 12:00:00 AM,,1393774,415114,
MOUNT AUBURN,"2301 AUBURN AV
Cincinnati, OH
(39.12366742591223, -84.50847917245522)",Graffiti removal,SR12038024,CLOSED  ,graffitti on sw corner elect box and metal phone pole,08/13/2012 12:00:00 AM,12:56 PM,AUBURN AV & GLENCOE PL - GJ1539033395,22,STANDARD,PHONE,8800090093,08/13/2012 12:00:00 AM,DCOTTRELL,09/12/2012 12:00:00 AM,,09/19/2012 12:00:00 AM,09/19/2012 12:00:00 AM,,1398760,415393,
MOUNT AUBURN,"1401 READING RD
Cincinnati, OH
(39.11193127342983, -84.50332605722735)",Graffiti removal,SR12038020,CLOSED  ,graffitti on elect box and phone pole- metal,08/13/2012 12:00:00 AM,12:51 PM,1401 READING RD - GJ1584732170,18,STANDARD,PHONE,7400030001,08/13/2012 12:00:00 AM,DCOTTRELL,09/12/2012 12:00:00 AM,,08/13/2012 12:00:00 AM,08/13/2012 12:00:00 AM,,1400060,411306,
SPRING GROVE VILLAGE,"4516 CIRCLE AV
Cincinnati, OH
(39.170324252792284, -84.51731051478299)",Graffiti removal,SR12038008,CLOSED  ,graffitti- on front proch floor,08/13/2012 12:00:00 AM,12:30 PM,4516 CIRCLE AV - GJ1449638614,73,STANDARD,PHONE,21900530023,08/13/2012 12:00:00 AM,DCOTTRELL,09/12/2012 12:00:00 AM,,09/19/2012 12:00:00 AM,09/19/2012 12:00:00 AM,,1396683,432635,
WESTWOOD,"3002 HARRISON AV
Cincinnati, OH
(39.14808401900768, -84.59782681606617)",Graffiti removal,SR12037961,CLOSED  ,Happened Friday evening Aug. 10 2012. Graffiti on buildings and dumpter in back of building also painted a truck at Pollman's Upholstery 2955 Montana Ave.and Sontag building.,08/13/2012 12:00:00 AM,10:28 AM,3002 HARRISON AV CINC - GJ0760135965,102.02,STANDARD,INTERNET,20800560096,08/13/2012 12:00:00 AM,CSRWEB,09/12/2012 12:00:00 AM,,09/12/2012 12:00:00 AM,09/12/2012 12:00:00 AM,,1373666,425083,
CUF,"2350 RAVINE ST
Cincinnati, OH
(39.12679706657417, -84.52555729779164)",Graffiti removal,SR12037822,CLOSED  ,spray painted letters JS on bricks on church property,08/10/2012 12:00:00 AM,3:53 PM,2350 RAVINE ST CINC - GJ1390833768,26,STANDARD,INTERNET,10000010268,08/10/2012 12:00:00 AM,CSRWEB,09/09/2012 12:00:00 AM,,09/18/2012 12:00:00 AM,09/18/2012 12:00:00 AM,,1393970,416857,
NORTHSIDE,"4600 HAMILTON AV
Cincinnati, OH
(39.17350785277603, -84.54292320617742)",Graffiti removal,SR12037711,CLOSED  ,Location is the traffic sign in front do the address,08/10/2012 12:00:00 AM,9:29 AM,4600 HAMILTON AV CINC - GJ1228538914,75,STANDARD,INTERNET,02000A470003      ,08/10/2012 12:00:00 AM,CSRWEB,09/09/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/17/2012 12:00:00 AM,,1389491,433981,
NORTHSIDE,"4667 HAMILTON AV
Cincinnati, OH
(39.175504347681056, -84.54386749430819)",Graffiti removal,SR12037709,CLOSED  ,Location is a city traffic sign in front of the address,08/10/2012 12:00:00 AM,9:27 AM,4667 HAMILTON AV CINC - GJ1214739122,79,STANDARD,INTERNET,20000470212,08/10/2012 12:00:00 AM,CSRWEB,09/09/2012 12:00:00 AM,,08/21/2012 12:00:00 AM,08/21/2012 12:00:00 AM,,1389073,434685,
MOUNT AUBURN,"2109 READING RD
Cincinnati, OH
(39.12033094118351, -84.50031332842917)",Graffiti removal,SR12037699,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/10/2012 12:00:00 AM,8:52 AM,2109 READING RD CINC - GJ1606933095,22,STANDARD,INTERNET,9000030036,08/10/2012 12:00:00 AM,CSRWEB,09/09/2012 12:00:00 AM,,08/29/2012 12:00:00 AM,08/29/2012 12:00:00 AM,,1400939,414301,
OVER-THE-RHINE,"1829 VINE ST
Cincinnati, OH
(39.11665271408367, -84.51691481309007)",Graffiti removal,SR12037652,CLOSED  ,Graffiti on corner of vine and findlayGraffiti is on the Findlay side. Turn right on Findlay from McMicken,08/09/2012 12:00:00 AM,3:26 PM,FINDLAY ST & VINE ST - GJ1467832667,17,STANDARD,PHONE,9400080352,08/09/2012 12:00:00 AM,ACURRY,09/08/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1396311,413123,
NORTHSIDE,"4127 LANGLAND ST
Cincinnati, OH
(39.16173572741246, -84.53833666382798)",Graffiti removal,SR12037648,CLOSED  ,Building has been vacant for years.  kids climbing on scaffolding and spray painting building facing langland st.,08/09/2012 12:00:00 AM,3:15 PM,4127 LANGLAND ST CINC - GJ1266037612,74,STANDARD,INTERNET,19600220153,08/09/2012 12:00:00 AM,CSRWEB,09/08/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1390508,429654,
MOUNT ADAMS,"309 OREGON ST
Cincinnati, OH
(39.10470842034669, -84.49796196787865)",Graffiti removal,SR12037622,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,08/09/2012 12:00:00 AM,2:43 PM,309 OREGON ST CINC - GJ1635131388,12,STANDARD,INTERNET,7900060317,08/09/2012 12:00:00 AM,CSRWEB,09/08/2012 12:00:00 AM,,,09/25/2012 12:00:00 AM,,1401583,408663,
OVER-THE-RHINE,"200 E CLIFTON AV
Cincinnati, OH
(39.11522279205707, -84.51362329446283)",Graffiti removal,SR12037600,CLOSED  ,Graffiti on front of building,08/09/2012 12:00:00 AM,1:15 PM,200 E CLIFTON AV - GJ1497332520,17,STANDARD,PHONE,9400070297,08/09/2012 12:00:00 AM,LSHACKELFORD,09/08/2012 12:00:00 AM,,08/28/2012 12:00:00 AM,08/28/2012 12:00:00 AM,,1397254,412593,E 
SOUTH FAIRMOUNT,"2428 WHITE ST
Cincinnati, OH
(39.12826296148194, -84.56351768064837)",Graffiti removal,SR12037548,CLOSED  ,On retaining wall across the street from 2428 White Street.,08/09/2012 12:00:00 AM,11:20 AM,2428 WHITE ST CINC - GJ1061833836,89,STANDARD,INTERNET,20300250205,08/09/2012 12:00:00 AM,CSRWEB,09/08/2012 12:00:00 AM,,08/23/2012 12:00:00 AM,08/23/2012 12:00:00 AM,,1383202,417614,
CUF,"2150 RAVINE ST
Cincinnati, OH
(39.122992934390254, -84.52596199270482)",Graffiti removal,SR12037542,CLOSED  ,There is graffiti between 2142 Ravine and 2150 Ravine in multiple places on painted brick unpainted brick and multiple other places. ,08/09/2012 12:00:00 AM,11:03 AM,2150 RAVINE ST - GJ1388033342,26,STANDARD,PHONE,9600020244,08/09/2012 12:00:00 AM,ACURRY,09/08/2012 12:00:00 AM,,09/18/2012 12:00:00 AM,09/18/2012 12:00:00 AM,,1393806,415464,
CUF,"1115 HOPPLE ST
Cincinnati, OH
(39.13799362583893, -84.53264395538253)",Graffiti removal,SR12037484,CLOSED  ,Graffiti on city wall,08/09/2012 12:00:00 AM,6:58 AM,1115 HOPPLE ST - GJ1324534974,29,STANDARD,PHONE,9900020015,08/09/2012 12:00:00 AM,LSHACKELFORD,09/08/2012 12:00:00 AM,,08/09/2012 12:00:00 AM,08/09/2012 12:00:00 AM,,1391992,420915,
MOUNT AUBURN,"1701 SYCAMORE ST
Cincinnati, OH
(39.113900788674016, -84.51079043007053)",Graffiti removal,SR12037417,CLOSED  ,On the side of this address on Schiller St ,08/08/2012 12:00:00 AM,1:53 PM,1701 SYCAMORE ST - GJ1519232370 1701 Sycamore St on Schiller Street side,17,STANDARD,PHONE,8600020053,08/08/2012 12:00:00 AM,VBANKS,09/07/2012 12:00:00 AM,,09/10/2012 12:00:00 AM,09/10/2012 12:00:00 AM,,1397947,412066,
OVER-THE-RHINE,"1330 WALNUT ST
Cincinnati, OH
(39.11061826326704, -84.51367725378458)",Graffiti removal,SR12037377,CLOSED  ,graffitti on the right side of the building crew would have to go the the office to get into the area area is gated.,08/08/2012 12:00:00 AM,10:29 AM,1330 WALNUT ST - GJ1499532002,10,STANDARD,PHONE,8000020244,08/08/2012 12:00:00 AM,DCOTTRELL,09/07/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1397239,410891,
MOUNT ADAMS,"984 HATCH ST
Cincinnati, OH
(39.10914337513901, -84.49548396913184)",Graffiti removal,SR12037327,CLOSED  ,This is my second request.  I had sent a request in several weeks ago and had requested a call. I never received one.,08/08/2012 12:00:00 AM,8:29 AM,984 HATCH ST CINC - GJ1654831891,13,STANDARD,INTERNET,7200010224,08/08/2012 12:00:00 AM,CSRWEB,09/07/2012 12:00:00 AM,,08/30/2012 12:00:00 AM,08/30/2012 12:00:00 AM,,1402312,410278,
OVER-THE-RHINE,"2065 W CLIFTON AV
Cincinnati, OH
(39.12069966321553, -84.52076391137547)",Graffiti removal,SR12037260,CLOSED  ,Graffiti on city wall,08/07/2012 12:00:00 AM,1:14 PM,2065 W CLIFTON AV - GJ1433733076,26,STANDARD,PHONE,9500020092,08/07/2012 12:00:00 AM,LSHACKELFORD,09/06/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1395260,414518,W 
CUF,"2217 CLIFTON AV
Cincinnati, OH
(39.1228874464446, -84.52022782624562)",Graffiti removal,SR12037257,CLOSED  ,Graffiti on side of building,08/07/2012 12:00:00 AM,1:10 PM,2217 CLIFTON AV - GJ1436633394,26,STANDARD,PHONE,9500010073,08/07/2012 12:00:00 AM,LSHACKELFORD,09/06/2012 12:00:00 AM,,08/21/2012 12:00:00 AM,08/21/2012 12:00:00 AM,,1395407,415554,
CAMP WASHINGTON,"1117 STRAIGHT ST
Cincinnati, OH
(39.13050227333491, -84.53525198926752)",Graffiti removal,SR12037249,CLOSED  ,Graffiti on front of building,08/07/2012 12:00:00 AM,12:49 PM,1117 STRAIGHT ST - GJ1304234141,28,STANDARD,PHONE,18700110058,08/07/2012 12:00:00 AM,LSHACKELFORD,09/06/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/17/2012 12:00:00 AM,,1391190,418220,
EVANSTON,"1992 MADISON RD
Cincinnati, OH
(39.13195917502236, -84.4634321320076)",Graffiti removal,SR12037160,CLOSED  ,Graffiti in Qwl Nest Park,08/07/2012 12:00:00 AM,6:59 AM,1992 MADISON RD - GJ1925034508,41,STANDARD,PHONE,5300040033,08/07/2012 12:00:00 AM,LSHACKELFORD,09/06/2012 12:00:00 AM,,08/07/2012 12:00:00 AM,08/07/2012 12:00:00 AM,,1411589,418410,
EAST END,"1542 RIVERSIDE DR
Cincinnati, OH
(39.11392776833486, -84.4875969149349)",Graffiti removal,SR12037159,CLOSED  ,Grafitti on city building,08/07/2012 12:00:00 AM,6:29 AM,1542 RIVERSIDE DR - GJ1722832480,43,STANDARD,PHONE,8500040059,08/07/2012 12:00:00 AM,LSHACKELFORD,09/06/2012 12:00:00 AM,,10/08/2012 12:00:00 AM,10/08/2012 12:00:00 AM,,1404635,412096,
OVER-THE-RHINE,"1308 CLAY ST
Cincinnati, OH
(39.11024054801476, -84.51272397243355)",Graffiti removal,SR12037148,CLOSED  ,The graffitti is on both buildings along Drum Alley (according to your locator map).  This alley does not have a street sign at its entrance off Clay St.,08/06/2012 12:00:00 AM,7:29 PM,1308 CLAY ST CINC - GJ1507131960,10,STANDARD,INTERNET,8000020277,08/06/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,09/25/2012 12:00:00 AM,09/25/2012 12:00:00 AM,,1397486,410743,
NORTHSIDE,"3845 WILLIAM P DOOLEY BYPS
Cincinnati, OH
(39.15649267998168, -84.53928994517906)",Graffiti removal,SR12037115,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/06/2012 12:00:00 AM,3:06 PM,3845 WILLIAM P DOOLEY BYPS CINC - GJ1260937058,78,STANDARD,INTERNET,19300030096,08/06/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1390250,427848,
CBD/RIVERFRONT,"300 PIKE ST
Cincinnati, OH
(39.10131028026382, -84.50267854536628)",Graffiti removal,SR12037107,CLOSED  ,2nd request,08/06/2012 12:00:00 AM,2:33 PM,E 3RD ST & PIKE ST,6,STANDARD,INTERNET,8400060001,08/06/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1400233,407394,
NORTHSIDE,"1619 BLUE ROCK ST
Cincinnati, OH
(39.160206879962686, -84.54070188076508)",Graffiti removal,SR12037019,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/06/2012 12:00:00 AM,9:46 AM,1619 BLUE ROCK ST CINC - GJ1248437424,78,STANDARD,INTERNET,22100130008,08/06/2012 12:00:00 AM,CSRWEB,09/05/2012 12:00:00 AM,,09/24/2012 12:00:00 AM,09/24/2012 12:00:00 AM,,1389902,429067,
NORTHSIDE,"4528 HAMILTON AV
Cincinnati, OH
(39.17157431041301, -84.54374158922411)",Graffiti removal,SR12036981,CLOSED  ,Building has overgrown brush broken windows and is magnet for graffiti. Please continue to check building for future graffiti.,08/05/2012 12:00:00 AM,3:45 PM,4528 HAMILTON AV CINC - GJ1219238622,75,STANDARD,INTERNET,19900410031,08/05/2012 12:00:00 AM,CSRWEB,09/04/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/17/2012 12:00:00 AM,,1389139,433041,
CUF,"2345 VICTOR ST
Cincinnati, OH
(39.12661720216829, -84.52375865373307)",Graffiti removal,SR12036980,CLOSED  ,The trim is off-white colored.,08/05/2012 12:00:00 AM,3:22 PM,2345 VICTOR ST CINC - GJ1403933748,26,STANDARD,INTERNET,10000010023,08/05/2012 12:00:00 AM,CSRWEB,09/04/2012 12:00:00 AM,,08/16/2012 12:00:00 AM,08/16/2012 12:00:00 AM,,1394395,416771,
CUF,"2300 STRATFORD AV
Cincinnati, OH
(39.12512432759968, -84.52305718255019)",Graffiti removal,SR12036972,CLOSED  ,large graffiti,08/05/2012 12:00:00 AM,10:04 AM,2300 STRATFORD AV CINC - GJ1412633577,26,STANDARD,INTERNET,10000010183,08/05/2012 12:00:00 AM,CSRWEB,09/04/2012 12:00:00 AM,,09/07/2012 12:00:00 AM,09/07/2012 12:00:00 AM,,1394652,416197,
PENDLETON,"1211 BROADWAY
Cincinnati, OH
(39.10997751685923, -84.5085347329571)",Graffiti removal,SR12036957,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/04/2012 12:00:00 AM,10:07 PM,1211 BROADWAY CINC - GJ1540931940,11,STANDARD,INTERNET,7500010024,08/04/2012 12:00:00 AM,CAGISMOB,09/03/2012 12:00:00 AM,,09/10/2012 12:00:00 AM,09/10/2012 12:00:00 AM,,1398590,410624,
WALNUT HILLS,"2627 PARK AV
Cincinnati, OH
(39.128244975041355, -84.48599612172274)",Graffiti removal,SR12036873,CLOSED  ,graffitti on the rear of the school building,08/03/2012 12:00:00 AM,2:29 PM,2627 PARK AV - GJ1727334029,37,STANDARD,PHONE,6700030124,08/03/2012 12:00:00 AM,DCOTTRELL,09/02/2012 12:00:00 AM,,08/16/2012 12:00:00 AM,08/16/2012 12:00:00 AM,,1405033,417162,
CUF,"563 W MARTIN LUTHER KING JR DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12036685,CLOSED  ,Graffiti on city walls,08/02/2012 12:00:00 AM,1:27 PM,563 W MARTIN LUTHER KING JR DR - GJ1374935191,29,STANDARD,PHONE,21400030120,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1393680,421542,W 
CUF,"563 W MARTIN LUTHER KING JR DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12036683,CLOSED  ,Graffiti on city walls,08/02/2012 12:00:00 AM,1:23 PM,563 W MARTIN LUTHER KING JR DR - GJ1374935191,29,STANDARD,PHONE,21400030120,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,,1393680,421542,W 
EAST END,"234 CARREL ST
Cincinnati, OH
(39.107587548028334, -84.4343750372409)",Graffiti removal,SR12036679,CLOSED  ,Graffiti on flood walls on Ohio River Trail,08/02/2012 12:00:00 AM,1:16 PM,234 CARREL ST - GJ2184731828,44,STANDARD,PHONE,1300010085,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,,1419659,409207,
CAMP WASHINGTON,"2721 CENTRAL PKWY
Cincinnati, OH
(39.13065515807989, -84.53154678250678)",Graffiti removal,SR12036585,CLOSED  ,Graffiti on city wall,08/02/2012 12:00:00 AM,7:33 AM,2721 CENTRAL PKWY - GJ1333734224,28,STANDARD,PHONE,18900190125,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1392171,418443,
CUF,"2708 CENTRAL PKWY
Cincinnati, OH
(39.13055623265666, -84.53156476894736)",Graffiti removal,SR12036583,CLOSED  ,Graffiti on city wall,08/02/2012 12:00:00 AM,7:30 AM,2708 CENTRAL PKWY - GJ1340134175,29,STANDARD,PHONE,9800020103,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1392371,418271,
CUF,"2364 W MCMICKEN AV
Cincinnati, OH
(39.12526821912434, -84.53206838928378)",Graffiti removal,SR12036582,CLOSED  ,Graffiti on wall and control box,08/02/2012 12:00:00 AM,7:17 AM,2364 W MCMICKEN AV - GJ1335833578,27,STANDARD,PHONE,9700010043,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1392133,416321,W 
CUF,"1003 MARSHALL AV
Cincinnati, OH
(39.13200414112384, -84.53057551471511)",Graffiti removal,SR12036581,CLOSED  ,Graffiti on wall at central  parkway,08/02/2012 12:00:00 AM,6:59 AM,1003 MARSHALL AV - GJ1343834304,29,STANDARD,PHONE,9800020027,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1392515,418686,
PENDLETON,"1310 SYCAMORE ST
Cincinnati, OH
(39.11014162259153, -84.51021486397178)",Graffiti removal,SR12036580,CLOSED  ,Graffiti on wall of school,08/02/2012 12:00:00 AM,6:50 AM,1310 SYCAMORE ST - GJ1530031983,11,STANDARD,PHONE,7500010044,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1398237,410780,
WALNUT HILLS,"2430 GILBERT AV
Cincinnati, OH
(39.125277212344656, -84.49065460983451)",Graffiti removal,SR12036579,CLOSED  ,Graffiti on side of building,08/02/2012 12:00:00 AM,6:39 AM,2430 GILBERT AV - GJ1694833669,19,STANDARD,PHONE,6700010067,08/02/2012 12:00:00 AM,LSHACKELFORD,09/01/2012 12:00:00 AM,,08/02/2012 12:00:00 AM,08/02/2012 12:00:00 AM,,1403910,416037,
CUF,"175 WARNER ST
Cincinnati, OH
(39.12470164624591, -84.51925305036627)",Graffiti removal,SR12036567,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,8:58 PM,175 WARNER ST CINC - GJ1444733528,25,STANDARD,INTERNET,9500010167,08/01/2012 12:00:00 AM,CSRWEB,08/31/2012 12:00:00 AM,,09/10/2012 12:00:00 AM,09/10/2012 12:00:00 AM,,1395695,415984,
PENDLETON,"516 E 12TH ST
Cincinnati, OH
(39.11006068360888, -84.50603301653553)",Graffiti removal,SR12036479,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,1:00 PM,516 E 12TH ST CINC - GJ1563131968,11,STANDARD,INTERNET,7500030174,08/01/2012 12:00:00 AM,CAGISMOB,08/31/2012 12:00:00 AM,,09/10/2012 12:00:00 AM,09/10/2012 12:00:00 AM,,1399319,410680,E 
OVER-THE-RHINE,"219 E 13TH ST
Cincinnati, OH
(39.10991679208422, -84.51099727413725)",Graffiti removal,SR12036473,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,12:52 PM,219 E 13TH ST CINC - GJ1521231906,10,STANDARD,INTERNET,7500040026,08/01/2012 12:00:00 AM,CAGISMOB,08/31/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1397937,410545,E 
PENDLETON,"314 E 14TH ST
Cincinnati, OH
(39.111598524278975, -84.50980117583833)",Graffiti removal,SR12036459,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,12:35 PM,314 E 14TH ST CINC - GJ1530232123,11,STANDARD,INTERNET,7500010116,08/01/2012 12:00:00 AM,CAGISMOB,08/31/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1398269,411240,E 
PENDLETON,"1400 SYCAMORE ST
Cincinnati, OH
(39.111535571736965, -84.51057459278348)",Graffiti removal,SR12036458,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,12:33 PM,1400 SYCAMORE ST CINC - GJ1525632108,11,STANDARD,INTERNET,7500010096,08/01/2012 12:00:00 AM,CAGISMOB,08/31/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1398114,411200,
PENDLETON,"1404 SYCAMORE ST
Cincinnati, OH
(39.11160973177039, -84.5105565377886)",Graffiti removal,SR12036456,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,08/01/2012 12:00:00 AM,12:30 PM,1404 SYCAMORE ST CINC - GJ1524732117,11,STANDARD,INTERNET,00750001CD07      ,08/01/2012 12:00:00 AM,CAGISMOB,08/31/2012 12:00:00 AM,,08/14/2012 12:00:00 AM,08/14/2012 12:00:00 AM,,1398087,411231,
CLIFTON,"312 LUDLOW AV
Cincinnati, OH
(39.14362338174237, -84.51990955544767)",Graffiti removal,SR12036304,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,07/31/2012 12:00:00 AM,7:11 PM,312 LUDLOW AV CINC - GJ1433535661,71,STANDARD,INTERNET,21400040045,07/31/2012 12:00:00 AM,CSRWEB,08/30/2012 12:00:00 AM,,10/04/2012 12:00:00 AM,10/04/2012 12:00:00 AM,,1395679,422987,
CUF,"2306 VICTOR ST
Cincinnati, OH
(39.125520029292545, -84.52379462661423)",Graffiti removal,SR12036303,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,07/31/2012 12:00:00 AM,7:09 PM,2306 VICTOR ST CINC - GJ1406633623,26,STANDARD,INTERNET,10000010096,07/31/2012 12:00:00 AM,CSRWEB,08/30/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/17/2012 12:00:00 AM,,1394464,416358,
CAMP WASHINGTON,"2648 SPRING GROVE AV
Cincinnati, OH
(39.12972991888102, -84.53652942055001)",Graffiti removal,SR12036268,INPROGRS,Graffiti on the Southside of the building on the Third floor,07/31/2012 12:00:00 AM,3:11 PM,2648 SPRING GROVE AV - GJ1295534113,28,STANDARD,PHONE,18700110033,07/31/2012 12:00:00 AM,DSWEETEN,08/30/2012 12:00:00 AM,,,08/21/2012 12:00:00 AM,,1390900,418140,
CAMP WASHINGTON,"2620 COOK ST
Cincinnati, OH
(39.129548991983825, -84.53541386723276)",Graffiti removal,SR12036267,CLOSED  ,Graffiti on the North end of the building waist high,07/31/2012 12:00:00 AM,3:08 PM,2620 COOK ST - GJ1304934044,28,STANDARD,PHONE,18700110063,07/31/2012 12:00:00 AM,DSWEETEN,08/30/2012 12:00:00 AM,,08/15/2012 12:00:00 AM,08/15/2012 12:00:00 AM,,1391200,417899,
CORRYVILLE,"2622 EDEN AV
Cincinnati, OH
(39.12976482927087, -84.5062128809414)",Graffiti removal,SR12036266,CLOSED  ,There is a concrete path that leads to it.,07/31/2012 12:00:00 AM,3:08 PM,2622 EDEN AV CINC - GJ1558734139,33,STANDARD,INTERNET,9200030223,07/31/2012 12:00:00 AM,CSRWEB,08/30/2012 12:00:00 AM,,08/17/2012 12:00:00 AM,08/17/2012 12:00:00 AM,,1399532,417798,
CUF,"2322 SAUER AV
Cincinnati, OH
(39.124386883535635, -84.51885734867335)",Graffiti removal,SR12036173,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,07/31/2012 12:00:00 AM,11:42 AM,2322 SAUER AV CINC - GJ1449633504,25,STANDARD,INTERNET,9500010204,07/31/2012 12:00:00 AM,CSRWEB,08/30/2012 12:00:00 AM,,08/15/2012 12:00:00 AM,08/15/2012 12:00:00 AM,,1395852,415897,
